TaskID,PersonID,MatchScore,Assigned,Title,Description,StoryPoints,RequiredSkills,Priority,Sprint,EstimatedHours,Name,Role,Skills,MaxHoursPerWeek,TimeZone,SleepingPoint,Availability
T0043,P009,0.66,0,Task 43,Implement feature 43,5,"Agile, React",High,2,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0040,P009,0.36,0,Task 40,Implement feature 40,10,Kubernetes,High,1,13,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0128,P009,0.66,0,Task 128,Implement feature 128,8,"Django, SQL",Low,2,16,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0097,P009,0.36,0,Task 97,Implement feature 97,12,"Node.js, Git",High,4,12,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0017,P009,0.36,0,Task 17,Implement feature 17,5,"Node.js, SQL, Kubernetes",Medium,3,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0012,P009,0.36,0,Task 12,Implement feature 12,5,"Selenium, Git",Critical,5,19,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0108,P009,0.56,0,Task 108,Implement feature 108,2,"React, Agile, SQL",Medium,1,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0142,P009,0.76,1,Task 142,Implement feature 142,7,"Agile, SQL, Python",Low,4,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0007,P009,0.56,0,Task 7,Implement feature 7,4,"Kubernetes, Node.js, Django",Medium,5,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0087,P009,0.66,0,Task 87,Implement feature 87,5,"Python, React",Critical,1,6,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0116,P009,0.66,0,Task 116,Implement feature 116,1,"Python, Git",Medium,5,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0129,P009,0.56,0,Task 129,Implement feature 129,1,"Kubernetes, Selenium, Agile",Critical,3,4,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0100,P009,0.36,0,Task 100,Implement feature 100,9,Git,Critical,3,9,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0058,P009,0.76,1,Task 58,Implement feature 58,4,"Agile, Django, Git",High,4,19,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0057,P009,0.36,0,Task 57,Implement feature 57,6,"SQL, Git, React",High,4,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0020,P009,0.56,0,Task 20,Implement feature 20,2,"Selenium, Python, Kubernetes",Medium,3,13,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0042,P009,0.36,0,Task 42,Implement feature 42,11,SQL,Critical,2,13,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0010,P009,0.96,1,Task 10,Implement feature 10,3,Django,Critical,4,19,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0083,P009,0.56,0,Task 83,Implement feature 83,2,"Git, Selenium, Agile",Medium,3,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0011,P009,0.36,0,Task 11,Implement feature 11,1,SQL,Medium,4,4,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0121,P009,0.56,0,Task 121,Implement feature 121,12,"Node.js, Git, Python",High,1,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0001,P009,0.66,0,Task 1,Implement feature 1,4,"React, Agile",Medium,1,6,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0049,P009,0.96,1,Task 49,Implement feature 49,13,"Django, Python",Critical,1,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0050,P009,0.36,0,Task 50,Implement feature 50,3,Git,Critical,5,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0005,P009,0.36,0,Task 5,Implement feature 5,11,Node.js,Critical,3,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0014,P009,0.56,0,Task 14,Implement feature 14,10,"Kubernetes, React, Agile",Critical,5,20,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0082,P009,0.56,0,Task 82,Implement feature 82,12,"Django, Kubernetes, Node.js",Medium,2,10,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0052,P009,0.66,0,Task 52,Implement feature 52,11,"Selenium, Django",High,5,19,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0025,P009,0.36,0,Task 25,Implement feature 25,11,"React, Node.js",Critical,3,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0084,P009,0.66,0,Task 84,Implement feature 84,1,"Python, Selenium",Medium,3,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0119,P009,0.36,0,Task 119,Implement feature 119,6,"Node.js, Kubernetes, SQL",Critical,5,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0126,P009,0.36,0,Task 126,Implement feature 126,11,"React, Git, Selenium",Medium,1,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0081,P009,0.36,0,Task 81,Implement feature 81,5,"Git, Selenium",High,2,7,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0114,P009,0.56,0,Task 114,Implement feature 114,6,"Agile, SQL, Git",Medium,2,16,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0033,P009,0.36,0,Task 33,Implement feature 33,7,Node.js,Low,4,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0059,P009,0.36,0,Task 59,Implement feature 59,6,SQL,Critical,2,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0134,P009,0.76,1,Task 134,Implement feature 134,5,"Agile, Selenium, Python",Critical,3,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0045,P009,0.66,0,Task 45,Implement feature 45,5,"Python, Node.js",High,1,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0092,P009,0.96,1,Task 92,Implement feature 92,2,Agile,Medium,1,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0149,P009,0.56,0,Task 149,Implement feature 149,11,"Selenium, Python, Node.js",Low,2,4,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0051,P009,0.66,0,Task 51,Implement feature 51,7,"CI/CD, Agile",Critical,2,19,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0013,P009,0.96,1,Task 13,Implement feature 13,5,Django,Medium,1,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0034,P009,0.36,0,Task 34,Implement feature 34,6,Git,High,2,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0068,P009,0.36,0,Task 68,Implement feature 68,7,"CI/CD, SQL",Medium,1,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0131,P009,0.96,1,Task 131,Implement feature 131,10,Django,High,2,7,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0093,P009,0.36,0,Task 93,Implement feature 93,5,"CI/CD, Git",Low,2,13,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0086,P009,0.36,0,Task 86,Implement feature 86,5,CI/CD,Critical,4,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0111,P009,0.96,1,Task 111,Implement feature 111,12,"Django, Agile",Medium,1,12,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0133,P009,0.36,0,Task 133,Implement feature 133,3,"Kubernetes, SQL",Medium,2,15,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0137,P009,0.36,0,Task 137,Implement feature 137,10,"Kubernetes, Selenium",Critical,3,7,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0147,P009,0.96,1,Task 147,Implement feature 147,4,Agile,Medium,2,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0061,P009,0.36,0,Task 61,Implement feature 61,3,SQL,Critical,2,5,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0031,P009,0.96,1,Task 31,Implement feature 31,13,Python,Medium,4,4,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0127,P009,0.36,0,Task 127,Implement feature 127,11,"CI/CD, Selenium",Critical,3,18,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0095,P006,0.91,1,Task 95,Implement feature 95,4,"Node.js, Agile",Medium,3,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0102,P006,0.61,0,Task 102,Implement feature 102,6,"Node.js, Python",Critical,4,13,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0079,P006,0.91,1,Task 79,Implement feature 79,12,SQL,Medium,3,15,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0026,P006,0.31,0,Task 26,Implement feature 26,13,Kubernetes,Medium,3,9,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0046,P006,0.71,1,Task 46,Implement feature 46,3,"Selenium, Django, Agile",Low,1,11,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0124,P006,0.31,0,Task 124,Implement feature 124,7,CI/CD,Medium,4,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0112,P006,0.61,0,Task 112,Implement feature 112,5,"Kubernetes, Agile",Low,3,13,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0009,P006,0.31,0,Task 9,Implement feature 9,13,Git,Low,1,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0003,P006,0.91,1,Task 3,Implement feature 3,11,Selenium,Critical,2,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0023,P006,0.91,1,Task 23,Implement feature 23,12,Node.js,Medium,3,13,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0139,P006,0.71,1,Task 139,Implement feature 139,11,"Node.js, Git, Selenium",Critical,1,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0130,P006,0.71,1,Task 130,Implement feature 130,13,"React, Git, Selenium",Medium,5,15,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0143,P006,0.61,0,Task 143,Implement feature 143,4,"React, Kubernetes",Critical,4,11,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0085,P006,0.91,1,Task 85,Implement feature 85,5,Agile,Medium,4,7,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0120,P006,0.71,1,Task 120,Implement feature 120,4,"Node.js, Django, Selenium",Low,4,7,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0028,P006,0.71,1,Task 28,Implement feature 28,6,"Python, Agile, React",Medium,4,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0145,P006,0.61,0,Task 145,Implement feature 145,8,"Django, Node.js",Low,2,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0022,P006,0.91,1,Task 22,Implement feature 22,5,Agile,Low,2,12,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0122,P006,0.91,1,Task 122,Implement feature 122,6,"React, Selenium",High,4,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0008,P006,0.91,1,Task 8,Implement feature 8,3,SQL,High,4,11,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0141,P006,0.91,1,Task 141,Implement feature 141,3,Agile,Critical,4,15,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0148,P006,0.31,0,Task 148,Implement feature 148,1,CI/CD,High,2,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0128,P006,0.61,0,Task 128,Implement feature 128,8,"Django, SQL",Low,2,16,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0017,P006,0.71,1,Task 17,Implement feature 17,5,"Node.js, SQL, Kubernetes",Medium,3,11,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0012,P006,0.61,0,Task 12,Implement feature 12,5,"Selenium, Git",Critical,5,19,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0108,P006,0.91,1,Task 108,Implement feature 108,2,"React, Agile, SQL",Medium,1,18,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0136,P006,0.71,1,Task 136,Implement feature 136,1,"Kubernetes, Node.js, SQL",High,5,7,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0074,P006,0.31,0,Task 74,Implement feature 74,10,"Django, Git",Critical,3,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0041,P006,0.71,1,Task 41,Implement feature 41,7,"Selenium, SQL, Kubernetes",High,5,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0146,P006,0.31,0,Task 146,Implement feature 146,4,Kubernetes,Medium,5,10,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0101,P006,0.71,1,Task 101,Implement feature 101,8,"SQL, Git, Node.js",High,4,14,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0116,P006,0.31,0,Task 116,Implement feature 116,1,"Python, Git",Medium,5,14,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0129,P006,0.71,1,Task 129,Implement feature 129,1,"Kubernetes, Selenium, Agile",Critical,3,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0035,P006,0.31,0,Task 35,Implement feature 35,7,Django,High,3,6,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0117,P006,0.31,0,Task 117,Implement feature 117,2,Git,Critical,1,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0011,P006,0.91,1,Task 11,Implement feature 11,1,SQL,Medium,4,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0121,P006,0.51,0,Task 121,Implement feature 121,12,"Node.js, Git, Python",High,1,5,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0001,P006,0.91,1,Task 1,Implement feature 1,4,"React, Agile",Medium,1,6,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0123,P006,0.91,1,Task 123,Implement feature 123,7,Agile,Medium,2,9,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0103,P006,0.91,1,Task 103,Implement feature 103,8,"SQL, Agile, React",Low,3,12,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0082,P006,0.51,0,Task 82,Implement feature 82,12,"Django, Kubernetes, Node.js",Medium,2,10,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0052,P006,0.61,0,Task 52,Implement feature 52,11,"Selenium, Django",High,5,19,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0084,P006,0.61,0,Task 84,Implement feature 84,1,"Python, Selenium",Medium,3,5,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0119,P006,0.71,1,Task 119,Implement feature 119,6,"Node.js, Kubernetes, SQL",Critical,5,5,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0114,P006,0.71,1,Task 114,Implement feature 114,6,"Agile, SQL, Git",Medium,2,16,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0059,P006,0.91,1,Task 59,Implement feature 59,6,SQL,Critical,2,18,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0134,P006,0.71,1,Task 134,Implement feature 134,5,"Agile, Selenium, Python",Critical,3,14,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0045,P006,0.61,0,Task 45,Implement feature 45,5,"Python, Node.js",High,1,11,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0132,P006,0.71,1,Task 132,Implement feature 132,1,"React, Selenium, Git",High,2,6,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0072,P006,0.51,0,Task 72,Implement feature 72,3,"Git, Python, SQL",High,5,19,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0048,P006,0.51,0,Task 48,Implement feature 48,4,"SQL, Git, CI/CD",Medium,1,7,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0096,P006,0.91,1,Task 96,Implement feature 96,3,React,High,5,13,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0092,P006,0.91,1,Task 92,Implement feature 92,2,Agile,Medium,1,17,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0030,P006,0.51,0,Task 30,Implement feature 30,13,"Django, Node.js, Kubernetes",Critical,5,8,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0125,P006,0.31,0,Task 125,Implement feature 125,11,Git,High,4,12,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0047,P006,0.61,0,Task 47,Implement feature 47,8,"CI/CD, Node.js",Critical,5,10,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0149,P006,0.71,1,Task 149,Implement feature 149,11,"Selenium, Python, Node.js",Low,2,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0051,P006,0.61,0,Task 51,Implement feature 51,7,"CI/CD, Agile",Critical,2,19,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0131,P006,0.31,0,Task 131,Implement feature 131,10,Django,High,2,7,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0086,P006,0.31,0,Task 86,Implement feature 86,5,CI/CD,Critical,4,18,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0118,P006,0.61,0,Task 118,Implement feature 118,8,"Python, Node.js",High,3,16,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0133,P006,0.61,0,Task 133,Implement feature 133,3,"Kubernetes, SQL",Medium,2,15,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0090,P006,0.71,1,Task 90,Implement feature 90,5,"SQL, Git, Agile",Critical,3,5,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0147,P006,0.91,1,Task 147,Implement feature 147,4,Agile,Medium,2,14,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0061,P006,0.91,1,Task 61,Implement feature 61,3,SQL,Critical,2,5,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0127,P006,0.61,0,Task 127,Implement feature 127,11,"CI/CD, Selenium",Critical,3,18,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0106,P006,0.51,0,Task 106,Implement feature 106,5,"Git, React, Django",Medium,3,18,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0067,P006,0.51,0,Task 67,Implement feature 67,5,"CI/CD, Node.js, Python",Low,5,4,Person_6,QA,"Agile, Node.js, SQL, React, Selenium",40,UTC+5.5,0.89,0.68
T0095,P015,0.6,0,Task 95,Implement feature 95,4,"Node.js, Agile",Medium,3,8,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0102,P015,0.6,0,Task 102,Implement feature 102,6,"Node.js, Python",Critical,4,13,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0026,P015,0.3,0,Task 26,Implement feature 26,13,Kubernetes,Medium,3,9,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0115,P015,0.9,1,Task 115,Implement feature 115,1,SQL,High,4,16,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0073,P015,0.9,1,Task 73,Implement feature 73,6,"SQL, Selenium",Medium,1,12,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0039,P015,0.6,0,Task 39,Implement feature 39,1,"React, SQL",Medium,3,17,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0110,P015,0.6,0,Task 110,Implement feature 110,4,"Git, CI/CD",Critical,5,8,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0055,P015,0.3,0,Task 55,Implement feature 55,2,"Python, Django",Critical,4,14,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0009,P015,0.3,0,Task 9,Implement feature 9,13,Git,Low,1,4,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0003,P015,0.9,1,Task 3,Implement feature 3,11,Selenium,Critical,2,8,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0150,P015,0.3,0,Task 150,Implement feature 150,1,"Django, Kubernetes",Medium,3,5,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0018,P015,0.6,0,Task 18,Implement feature 18,11,"SQL, Python",High,4,14,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0002,P015,0.5,0,Task 2,Implement feature 2,1,"React, Django, Node.js",High,1,20,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
T0130,P015,0.5,0,Task 130,Implement feature 130,13,"React, Git, Selenium",Medium,5,15,Person_15,DevOps,"Node.js, Selenium, SQL, CI/CD",20,UTC+8,0.88,0.63
